_id,region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,pressure
ObjectId(63e4bbd04e31320bce166d5d),Bretagne,2020-09-14T00:00:00.000Z,28,17,12,86,9.625,39,37
ObjectId(63e4bbd04e31320bce166d5e),Bretagne,2020-09-15T00:00:00.000Z,27,16,17,95,8,32,74
ObjectId(63e4bbd04e31320bce166d5f),Bretagne,2020-09-16T00:00:00.000Z,28,15,25,91,9.875,27,114
ObjectId(63e4bbd04e31320bce166d60),Bretagne,2020-09-17T00:00:00.000Z,29,15,24,65,10,23,185
ObjectId(63e4bbd04e31320bce166d61),Bretagne,2020-09-18T00:00:00.000Z,23,17,9,95,8.25,78,191
ObjectId(63e4bbd04e31320bce166d62),Bretagne,2020-09-19T00:00:00.000Z,25,15,14,94,6.875,57,66
ObjectId(63e4bbd04e31320bce166d63),Bretagne,2020-09-20T00:00:00.000Z,26,16,4,91,8.375,37,125
ObjectId(63e4bbd04e31320bce166d64),Bretagne,2020-09-21T00:00:00.000Z,23,14,17,97,7.5,62,76
ObjectId(63e4bbd04e31320bce166d65),Bretagne,2020-09-22T00:00:00.000Z,20,14,26,96,9,68,7
ObjectId(63e4bbd04e31320bce166d66),Bretagne,2020-09-23T00:00:00.000Z,17,11,33,88,9,58,129
ObjectId(63e4bbd04e31320bce166d67),Bretagne,2020-09-24T00:00:00.000Z,14,10,37,82,9.5,66,11
ObjectId(63e4bbd04e31320bce166d68),Bretagne,2020-09-25T00:00:00.000Z,14,9,26,84,9.75,71,168
ObjectId(63e4bbd04e31320bce166d69),Bretagne,2020-09-26T00:00:00.000Z,14,11,35,76,10,52,30
ObjectId(63e4bbd04e31320bce166d6a),Bretagne,2020-09-27T00:00:00.000Z,17,7,16,94,10,60,156
ObjectId(63e4bbd04e31320bce166d6b),Bretagne,2020-09-28T00:00:00.000Z,19,14,9,96,7.625,76,112
ObjectId(63e4bbd04e31320bce166d6c),Bretagne,2020-09-29T00:00:00.000Z,18,14,32,96,7.25,87,132
ObjectId(63e4bbd04e31320bce166d6d),Centre-Val de Loire,2020-08-31T00:00:00.000Z,21,11,12,83,10,10,40
ObjectId(63e4bbd04e31320bce166d6e),Centre-Val de Loire,2020-09-01T00:00:00.000Z,22,12,10,74,10,5,191
ObjectId(63e4bbd04e31320bce166d6f),Centre-Val de Loire,2020-09-02T00:00:00.000Z,26,16,12,58,10,26,32
ObjectId(63e4bbd04e31320bce166d70),Centre-Val de Loire,2020-09-03T00:00:00.000Z,29,17,9,81,10,5,7
ObjectId(63e4bbd04e31320bce166d71),Centre-Val de Loire,2020-09-04T00:00:00.000Z,20,15,12,77,10,41,15
ObjectId(63e4bbd04e31320bce166d72),Centre-Val de Loire,2020-09-05T00:00:00.000Z,19,12,8,80,9.75,40,55
ObjectId(63e4bbd04e31320bce166d73),Centre-Val de Loire,2020-09-06T00:00:00.000Z,22,11,10,83,10,13,81
ObjectId(63e4bbd04e31320bce166d74),Centre-Val de Loire,2020-09-07T00:00:00.000Z,24,13,8,64,10,31,180
ObjectId(63e4bbd04e31320bce166d75),Centre-Val de Loire,2020-09-08T00:00:00.000Z,27,15,10,86,10,22,79
ObjectId(63e4bbd04e31320bce166d76),Centre-Val de Loire,2020-09-09T00:00:00.000Z,26,16,9,89,10,40,143
ObjectId(63e4bbd04e31320bce166d77),Centre-Val de Loire,2020-09-10T00:00:00.000Z,28,17,9,80,9.875,38,26
ObjectId(63e4bbd04e31320bce166d78),Centre-Val de Loire,2020-09-11T00:00:00.000Z,26,14,9,84,10,6,101
ObjectId(63e4bbd04e31320bce166d79),Centre-Val de Loire,2020-09-12T00:00:00.000Z,29,14,9,62,10,0,21
ObjectId(63e4bbd04e31320bce166d7a),Centre-Val de Loire,2020-09-13T00:00:00.000Z,34,17,9,66,10,3,112
ObjectId(63e4bbd04e31320bce166d7b),Centre-Val de Loire,2020-09-14T00:00:00.000Z,32,20,9,52,10,9,81
ObjectId(63e4bbd04e31320bce166d7c),Centre-Val de Loire,2020-09-15T00:00:00.000Z,31,18,8,78,10,19,43
ObjectId(63e4bbd04e31320bce166d7d),Centre-Val de Loire,2020-09-16T00:00:00.000Z,28,18,21,83,10,12,116
ObjectId(63e4bbd04e31320bce166d7e),Centre-Val de Loire,2020-09-17T00:00:00.000Z,30,15,18,86,10,14,77
ObjectId(63e4bbd04e31320bce166d7f),Centre-Val de Loire,2020-09-18T00:00:00.000Z,28,19,12,87,8.125,56,164
ObjectId(63e4bbd04e31320bce166d80),Centre-Val de Loire,2020-09-19T00:00:00.000Z,27,17,4,91,9.5,45,97
ObjectId(63e4bbd04e31320bce166d81),Centre-Val de Loire,2020-09-20T00:00:00.000Z,26,17,9,80,9.75,42,104
ObjectId(63e4bbd04e31320bce166d82),Centre-Val de Loire,2020-09-21T00:00:00.000Z,25,14,10,60,9.75,31,66
ObjectId(63e4bbd04e31320bce166d83),Centre-Val de Loire,2020-09-22T00:00:00.000Z,23,14,22,93,10,68,96
ObjectId(63e4bbd04e31320bce166d84),Centre-Val de Loire,2020-09-23T00:00:00.000Z,19,11,28,90,9.125,67,119
ObjectId(63e4bbd04e31320bce166d85),Centre-Val de Loire,2020-09-24T00:00:00.000Z,14,10,31,77,9.875,68,164
ObjectId(63e4bbd04e31320bce166d86),Centre-Val de Loire,2020-09-25T00:00:00.000Z,15,8,22,83,9.75,48,108
ObjectId(63e4bbd04e31320bce166d87),Centre-Val de Loire,2020-09-26T00:00:00.000Z,14,10,32,83,6.75,99,127
ObjectId(63e4bbd04e31320bce166d88),Centre-Val de Loire,2020-09-27T00:00:00.000Z,14,12,18,90,8.75,88,84
ObjectId(63e4bbd04e31320bce166d89),Centre-Val de Loire,2020-09-28T00:00:00.000Z,17,13,10,91,7,86,12
ObjectId(63e4bbd04e31320bce166d8a),Centre-Val de Loire,2020-09-29T00:00:00.000Z,19,13,12,88,9.875,68,51
ObjectId(63e4bbd04e31320bce166d8b),Corse,2020-08-31T00:00:00.000Z,24,17,13,75,9.875,40,165
ObjectId(63e4bbd04e31320bce166d8c),Corse,2020-09-01T00:00:00.000Z,24,15,10,64,10,17,200
ObjectId(63e4bbd04e31320bce166d8d),Corse,2020-09-02T00:00:00.000Z,24,17,9,72,10,22,1
ObjectId(63e4bbd04e31320bce166d8e),Corse,2020-09-03T00:00:00.000Z,26,20,10,65,10,8,167
ObjectId(63e4bbd04e31320bce166d8f),Corse,2020-09-04T00:00:00.000Z,26,21,13,56,10,3,52
ObjectId(63e4bbd04e31320bce166d90),Corse,2020-09-05T00:00:00.000Z,26,17,10,58,10,2,145
ObjectId(63e4bbd04e31320bce166d91),Corse,2020-09-06T00:00:00.000Z,25,16,13,62,10,12,168
ObjectId(63e4bbd04e31320bce166d92),Corse,2020-09-07T00:00:00.000Z,27,21,9,62,10,13,98
ObjectId(63e4bbd04e31320bce166d93),Corse,2020-09-08T00:00:00.000Z,28,21,11,64,9.875,30,199
ObjectId(63e4bbd04e31320bce166d94),Corse,2020-09-09T00:00:00.000Z,25,20,9,85,7.75,71,164
ObjectId(63e4bbd04e31320bce166d95),Corse,2020-09-10T00:00:00.000Z,24,17,10,84,9,77,7
ObjectId(63e4bbd04e31320bce166d96),Corse,2020-09-11T00:00:00.000Z,27,19,8,78,10,65,131
